# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 300
1 1.000000 0.933333 -0.066667 48000 300
2 1.414214 0.866667 -0.033333 96000 300
3 1.732051 0.800000 0.000000 64000 300
4 2.000000 0.866667 -0.133333 48000 300
5 2.236068 0.800000 -0.080005 192000 300
6 2.449490 0.733333 -0.033333 192000 300
8 2.828427 0.733333 -0.066667 96000 300
9 3.000000 0.693333 -0.057677 240000 300
10 3.162278 0.733333 -0.146647 192000 300
11 3.316625 0.666667 -0.096923 192000 300
12 3.464102 0.600000 0.000000 64000 300
13 3.605551 0.666667 -0.102570 192000 300
14 3.741657 0.600000 -0.057140 384000 300
16 4.000000 0.733333 -0.266667 48000 300
17 4.123106 0.600000 -0.117777 384000 300
18 4.242641 0.600000 -0.144442 288000 300
19 4.358899 0.533333 -0.056113 192000 300
20 4.472136 0.600000 -0.160017 192000 300
21 4.582576 0.533333 -0.114261 384000 300
22 4.690416 0.466667 -0.015157 192000 300
24 4.898979 0.466667 -0.066667 192000 300
25 5.000000 0.560000 -0.171204 240000 300
26 5.099020 0.511111 -0.153009 576000 300
27 5.196152 0.500000 -0.177638 256000 300
29 5.385165 0.444444 -0.102679 576000 300
30 5.477226 0.466667 -0.179967 384000 300
32 5.656854 0.466667 -0.133333 96000 300
33 5.744563 0.400000 -0.109080 384000 300
34 5.830952 0.400000 -0.097097 384000 300
35 5.916080 0.400000 -0.137182 384000 300
36 6.000000 0.386667 -0.115637 240000 300
37 6.082763 0.533333 -0.353041 192000 300
38 6.164414 0.377778 -0.160939 576000 300
40 6.324555 0.466667 -0.293268 192000 300
41 6.403124 0.366667 -0.167257 768000 300
42 6.480741 0.333333 -0.119039 384000 300
43 6.557439 0.266667 -0.049610 192000 300
44 6.633250 0.333333 -0.193978 192000 300
45 6.708204 0.311111 -0.127414 576000 300
46 6.782330 0.333333 -0.197125 384000 300
48 6.928203 0.200000 0.000000 64000 300
49 7.000000 0.296296 -0.181178 432000 300
50 7.071068 0.295238 -0.162452 672000 300
51 7.141428 0.333333 -0.250924 384000 300
52 7.211103 0.333333 -0.205113 192000 300
53 7.280110 0.311111 -0.229895 576000 300
54 7.348469 0.266667 -0.203467 768000 300
56 7.483315 0.200000 -0.114266 384000 300
57 7.549834 0.200000 -0.136828 384000 300
58 7.615773 0.333333 -0.304655 192000 300
59 7.681146 0.222222 -0.186941 576000 300
61 7.810250 0.177778 -0.110675 576000 300
62 7.874008 0.200000 -0.180489 768000 300
64 8.000000 0.466667 -0.533333 48000 300
65 8.062258 0.233333 -0.238949 768000 300
66 8.124038 0.200000 -0.222757 768000 300
67 8.185353 0.133333 -0.159170 192000 300
68 8.246211 0.200000 -0.235220 384000 300
69 8.306624 0.200000 -0.278032 768000 300
70 8.366600 0.066667 -0.059067 384000 300
72 8.485281 0.200000 -0.288868 288000 300
73 8.544004 0.200000 -0.265821 384000 300
74 8.602325 0.146667 -0.226198 960000 300
75 8.660254 0.114286 -0.164695 448000 300
76 8.717798 0.066667 -0.112292 192000 300
77 8.774964 0.066667 -0.151448 768000 300
78 8.831761 0.066667 -0.143545 384000 300
80 8.944272 0.200000 -0.319917 192000 300

# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 0
1 1.000000 0.960408 -0.016802 48000 0
2 1.414214 0.924498 -0.018522 96000 0
3 1.732051 0.890826 -0.020375 64000 0
4 2.000000 0.861301 -0.058684 48000 0
5 2.236068 0.830847 -0.051623 192000 0
6 2.449490 0.801847 -0.047588 192000 0
8 2.828427 0.749370 -0.058835 96000 0
9 3.000000 0.724894 -0.067086 240000 0
10 3.162278 0.704279 -0.102367 192000 0
11 3.316625 0.680670 -0.094388 192000 0
12 3.464102 0.654835 -0.059023 64000 0
13 3.605551 0.637508 -0.090673 192000 0
14 3.741657 0.616443 -0.085491 384000 0
16 4.000000 0.588426 -0.165870 48000 0
17 4.123106 0.564045 -0.116835 384000 0
18 4.242641 0.548733 -0.128584 288000 0
19 4.358899 0.526739 -0.092090 192000 0
20 4.472136 0.516871 -0.132367 192000 0
21 4.582576 0.500171 -0.125065 384000 0
22 4.690416 0.477886 -0.083970 192000 0
24 4.898979 0.454155 -0.110284 192000 0
25 5.000000 0.446294 -0.136402 240000 0
26 5.099020 0.434062 -0.140958 576000 0
27 5.196152 0.425256 -0.161178 256000 0
29 5.385165 0.394315 -0.123717 576000 0
30 5.477226 0.391790 -0.162760 384000 0
32 5.656854 0.361723 -0.117093 96000 0
33 5.744563 0.353046 -0.127023 384000 0
34 5.830952 0.340421 -0.116743 384000 0
35 5.916080 0.336604 -0.137395 384000 0
36 6.000000 0.324337 -0.127341 240000 0
37 6.082763 0.341425 -0.230280 192000 0
38 6.164414 0.313919 -0.153717 576000 0
40 6.324555 0.311126 -0.202007 192000 0
41 6.403124 0.289599 -0.149137 768000 0
42 6.480741 0.275492 -0.119794 384000 0
43 6.557439 0.261243 -0.102144 192000 0
44 6.633250 0.274016 -0.169536 192000 0
45 6.708204 0.255600 -0.126126 576000 0
46 6.782330 0.259335 -0.160625 384000 0
48 6.928203 0.219510 -0.076094 64000 0
