# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 300
1 1.000000 0.933333 -0.066667 48000 300
2 1.414214 0.866667 -0.033333 96000 300
3 1.732051 0.800000 0.000000 64000 300
4 2.000000 0.866667 -0.133333 48000 300
5 2.236068 0.800000 -0.080005 192000 300
6 2.449490 0.733333 -0.033333 192000 300
8 2.828427 0.733333 -0.066667 96000 300
9 3.000000 0.693333 -0.057677 240000 300
10 3.162278 0.733333 -0.146647 192000 300
11 3.316625 0.666667 -0.096923 192000 300
12 3.464102 0.600000 0.000000 64000 300
13 3.605551 0.666667 -0.102570 192000 300
14 3.741657 0.600000 -0.057140 384000 300
16 4.000000 0.733333 -0.266667 48000 300
17 4.123106 0.600000 -0.117777 384000 300
18 4.242641 0.600000 -0.144442 288000 300
19 4.358899 0.533333 -0.056113 192000 300
20 4.472136 0.600000 -0.160017 192000 300
21 4.582576 0.533333 -0.114261 384000 300
22 4.690416 0.466667 -0.015157 192000 300
24 4.898979 0.466667 -0.066667 192000 300
25 5.000000 0.560000 -0.171204 240000 300
26 5.099020 0.511111 -0.153009 576000 300
27 5.196152 0.500000 -0.177638 256000 300
29 5.385165 0.444444 -0.102679 576000 300
30 5.477226 0.466667 -0.179967 384000 300
32 5.656854 0.466667 -0.133333 96000 300
33 5.744563 0.400000 -0.109080 384000 300
34 5.830952 0.400000 -0.097097 384000 300
35 5.916080 0.400000 -0.137182 384000 300
36 6.000000 0.386667 -0.115637 240000 300
37 6.082763 0.533333 -0.353041 192000 300
38 6.164414 0.377778 -0.160939 576000 300
40 6.324555 0.466667 -0.293268 192000 300
41 6.403124 0.366667 -0.167257 768000 300
42 6.480741 0.333333 -0.119039 384000 300
43 6.557439 0.266667 -0.049610 192000 300
44 6.633250 0.333333 -0.193978 192000 300
45 6.708204 0.311111 -0.127414 576000 300
46 6.782330 0.333333 -0.197125 384000 300
48 6.928203 0.200000 0.000000 64000 300
49 7.000000 0.296296 -0.181178 432000 300
50 7.071068 0.295238 -0.162452 672000 300
51 7.141428 0.333333 -0.250924 384000 300
52 7.211103 0.333333 -0.205113 192000 300
53 7.280110 0.311111 -0.229895 576000 300
54 7.348469 0.266667 -0.203467 768000 300
56 7.483315 0.200000 -0.114266 384000 300
57 7.549834 0.200000 -0.136828 384000 300
58 7.615773 0.333333 -0.304655 192000 300
59 7.681146 0.222222 -0.186941 576000 300
61 7.810250 0.177778 -0.110675 576000 300
62 7.874008 0.200000 -0.180489 768000 300
64 8.000000 0.466667 -0.533333 48000 300
65 8.062258 0.233333 -0.238949 768000 300
66 8.124038 0.200000 -0.222757 768000 300
67 8.185353 0.133333 -0.159170 192000 300
68 8.246211 0.200000 -0.235220 384000 300
69 8.306624 0.200000 -0.278032 768000 300
70 8.366600 0.066667 -0.059067 384000 300
72 8.485281 0.200000 -0.288868 288000 300
73 8.544004 0.200000 -0.265821 384000 300
74 8.602325 0.146667 -0.226198 960000 300
75 8.660254 0.114286 -0.164695 448000 300
76 8.717798 0.066667 -0.112292 192000 300
77 8.774964 0.066667 -0.151448 768000 300
78 8.831761 0.066667 -0.143545 384000 300
80 8.944272 0.200000 -0.319917 192000 300

# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 300
1 1.000000 0.826390 -0.005901 48000 300
2 1.414214 0.796225 -0.005665 96000 300
3 1.732051 0.785048 -0.004432 64000 300
4 2.000000 0.784719 -0.006424 48000 300
5 2.236068 0.777744 -0.006573 192000 300
6 2.449490 0.773035 -0.005932 192000 300
8 2.828427 0.770475 -0.005923 96000 300
9 3.000000 0.767967 -0.005387 240000 300
10 3.162278 0.767965 -0.004462 192000 300
11 3.316625 0.765084 -0.004254 192000 300
12 3.464102 0.764587 -0.004095 64000 300
13 3.605551 0.763922 -0.004103 192000 300
14 3.741657 0.762083 -0.004022 384000 300
16 4.000000 0.761208 -0.003730 48000 300
17 4.123106 0.760726 -0.003583 384000 300
18 4.242641 0.759756 -0.002313 288000 300
19 4.358899 0.759443 -0.002838 192000 300
20 4.472136 0.758687 -0.003769 192000 300
21 4.582576 0.757981 -0.003908 384000 300
22 4.690416 0.758215 -0.003758 192000 300
24 4.898979 0.756885 -0.003814 192000 300
25 5.000000 0.757046 -0.003429 240000 300
26 5.099020 0.756365 -0.003512 576000 300
27 5.196152 0.755276 -0.003001 256000 300
29 5.385165 0.755392 -0.003668 576000 300
30 5.477226 0.754339 -0.003910 384000 300
32 5.656854 0.755244 -0.003460 96000 300
33 5.744563 0.754177 -0.003771 384000 300
34 5.830952 0.754261 -0.003767 384000 300
35 5.916080 0.753545 -0.003763 384000 300
36 6.000000 0.753628 -0.003707 240000 300
37 6.082763 0.751554 -0.005636 192000 300
38 6.164414 0.752544 -0.004159 576000 300
40 6.324555 0.751663 -0.004234 192000 300
41 6.403124 0.751971 -0.003948 768000 300
42 6.480741 0.752316 -0.003861 384000 300
43 6.557439 0.752651 -0.003755 192000 300
44 6.633250 0.750691 -0.003789 192000 300
45 6.708204 0.751501 -0.004135 576000 300
46 6.782330 0.750990 -0.004630 384000 300
48 6.928203 0.750413 -0.005068 64000 300
