LOCAL ORDER: 
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 300
1 1.000000 0.955556 72000 300
2 1.414214 0.911111 144000 300
3 1.732051 0.866667 96000 300
4 2.000000 0.911111 72000 300
5 2.236068 0.866667 288000 300
6 2.449490 0.822222 288000 300
8 2.828427 0.822222 144000 300
9 3.000000 0.795556 360000 300
10 3.162278 0.822222 288000 300
11 3.316625 0.777778 288000 300
12 3.464102 0.733333 96000 300
13 3.605551 0.777778 288000 300
14 3.741657 0.733333 576000 300
16 4.000000 0.822222 72000 300
17 4.123106 0.733333 576000 300
18 4.242641 0.733333 432000 300
19 4.358899 0.688889 288000 300
20 4.472136 0.733333 288000 300
21 4.582576 0.688889 576000 300
22 4.690416 0.644444 288000 300
24 4.898979 0.644444 288000 300
25 5.000000 0.706667 360000 300
26 5.099020 0.674074 864000 300
27 5.196152 0.666667 384000 300
29 5.385165 0.629630 864000 300
30 5.477226 0.644444 576000 300
32 5.656854 0.644444 144000 300
33 5.744563 0.600000 576000 300
34 5.830952 0.600000 576000 300
35 5.916080 0.600000 576000 300
36 6.000000 0.591111 360000 300
37 6.082763 0.688889 288000 300
38 6.164414 0.585185 864000 300
40 6.324555 0.644444 288000 300
41 6.403124 0.577778 1152000 300
42 6.480741 0.555556 576000 300
43 6.557439 0.511111 288000 300
44 6.633250 0.555556 288000 300
45 6.708204 0.540741 864000 300
46 6.782330 0.555556 576000 300
48 6.928203 0.466667 96000 300
49 7.000000 0.530864 648000 300
50 7.071068 0.530159 1008000 300
51 7.141428 0.555556 576000 300
52 7.211103 0.555556 288000 300
53 7.280110 0.540741 864000 300
54 7.348469 0.511111 1152000 300
56 7.483315 0.466667 576000 300
57 7.549834 0.466667 576000 300
58 7.615773 0.555556 288000 300
59 7.681146 0.481481 864000 300
61 7.810250 0.451852 864000 300
62 7.874008 0.466667 1152000 300
64 8.000000 0.644444 72000 300
65 8.062258 0.488889 1152000 300
66 8.124038 0.466667 1152000 300
67 8.185353 0.422222 288000 300
68 8.246211 0.466667 576000 300
69 8.306624 0.466667 1152000 300
70 8.366600 0.377778 576000 300
72 8.485281 0.466667 432000 300
73 8.544004 0.466667 576000 300
74 8.602325 0.431111 1440000 300
75 8.660254 0.409524 672000 300
76 8.717798 0.377778 288000 300
77 8.774964 0.377778 1152000 300
78 8.831761 0.377778 576000 300
80 8.944272 0.466667 288000 300

CageStrain: 1.000000 T: 300 DMAX: 55.000000 new_DMAX: 0.010000 variance: 0.000100 mean: 0.000000
CageStrain: 1.000000 T: 0 DMAX: 0.010000 new_DMAX: 23.971012 variance: 95.402023 mean: 5.395734
CageStrain: 1.000000 T: 0 DMAX: 23.971012 new_DMAX: 23.971012 variance: 95.402023 mean: 5.395734
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 0
1 1.000000 0.897174 72000 0
2 1.414214 0.812208 144000 0
3 1.732051 0.737767 96000 0
4 2.000000 0.681003 72000 0
5 2.236068 0.619928 288000 0
6 2.449490 0.564995 288000 0
8 2.828427 0.475544 144000 0
9 3.000000 0.436373 360000 0
10 3.162278 0.407500 288000 0
11 3.316625 0.371749 288000 0
12 3.464102 0.332535 96000 0
13 3.605551 0.312328 288000 0
14 3.741657 0.284607 576000 0
