# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 0
1 1.000000 0.952208 -0.021342 48000 0
2 1.414214 0.909046 -0.028278 96000 0
3 1.732051 0.869040 -0.034830 64000 0
4 2.000000 0.835196 -0.071808 48000 0
5 2.236068 0.799627 -0.069500 192000 0
6 2.449490 0.766189 -0.069563 192000 0
8 2.828427 0.706958 -0.084576 96000 0
9 3.000000 0.680099 -0.093994 240000 0
10 3.162278 0.658662 -0.125040 192000 0
11 3.316625 0.632484 -0.120276 192000 0
12 3.464102 0.603157 -0.093398 64000 0
13 3.605551 0.585304 -0.120055 192000 0
14 3.741657 0.562785 -0.117310 384000 0
16 4.000000 0.537010 -0.185327 48000 0
17 4.123106 0.509278 -0.145959 384000 0
18 4.242641 0.493420 -0.155715 288000 0
19 4.358899 0.469127 -0.126744 192000 0
20 4.472136 0.460544 -0.159469 192000 0
21 4.582576 0.443381 -0.154064 384000 0
22 4.690416 0.420129 -0.121959 192000 0
24 4.898979 0.396914 -0.143062 192000 0
25 5.000000 0.389068 -0.164211 240000 0
26 5.099020 0.377457 -0.168251 576000 0
27 5.196152 0.369967 -0.185142 256000 0
29 5.385165 0.338248 -0.154030 576000 0
30 5.477226 0.335938 -0.185053 384000 0
32 5.656854 0.304721 -0.147712 96000 0
33 5.744563 0.297413 -0.155666 384000 0
34 5.830952 0.285895 -0.147205 384000 0
35 5.916080 0.281168 -0.163127 384000 0
36 6.000000 0.271228 -0.156825 240000 0
37 6.082763 0.287958 -0.242243 192000 0
38 6.164414 0.260503 -0.176904 576000 0
40 6.324555 0.256700 -0.215559 192000 0
41 6.403124 0.236705 -0.171867 768000 0
42 6.480741 0.222293 -0.147511 384000 0
43 6.557439 0.211705 -0.132863 192000 0
44 6.633250 0.220467 -0.186628 192000 0
45 6.708204 0.204144 -0.151468 576000 0
46 6.782330 0.205596 -0.178148 384000 0
48 6.928203 0.175692 -0.110239 64000 0
49 7.000000 0.187394 -0.173428 432000 0
50 7.071068 0.180006 -0.162380 672000 0
51 7.141428 0.184022 -0.193633 384000 0
52 7.211103 0.167420 -0.158107 192000 0
53 7.280110 0.169132 -0.178754 576000 0
54 7.348469 0.164265 -0.177518 768000 0
56 7.483315 0.143274 -0.138665 384000 0
57 7.549834 0.143672 -0.151609 384000 0
58 7.615773 0.152092 -0.195409 192000 0
59 7.681146 0.138314 -0.162141 576000 0
61 7.810250 0.120076 -0.126263 576000 0
62 7.874008 0.123827 -0.152258 768000 0
64 8.000000 0.161163 -0.279576 48000 0
65 8.062258 0.120207 -0.168535 768000 0
66 8.124038 0.116069 -0.166216 768000 0
67 8.185353 0.103930 -0.145642 192000 0
68 8.246211 0.111700 -0.170285 384000 0
69 8.306624 0.112647 -0.186121 768000 0
70 8.366600 0.084495 -0.104005 384000 0
72 8.485281 0.103063 -0.179908 288000 0
73 8.544004 0.095302 -0.161800 384000 0
74 8.602325 0.088571 -0.153472 960000 0
75 8.660254 0.078157 -0.124281 448000 0
76 8.717798 0.071697 -0.109867 192000 0
77 8.774964 0.074195 -0.130530 768000 0
78 8.831761 0.068681 -0.118617 384000 0
80 8.944272 0.079336 -0.164211 192000 0

# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 256
1 1.000000 0.680994 -0.027579 48000 256
2 1.414214 0.622209 -0.016603 96000 256
3 1.732051 0.598670 -0.013441 64000 256
4 2.000000 0.594685 -0.032960 48000 256
5 2.236068 0.580430 -0.021487 192000 256
6 2.449490 0.571085 -0.017648 192000 256
8 2.828427 0.559978 -0.017529 96000 256
9 3.000000 0.558155 -0.017312 240000 256
10 3.162278 0.556513 -0.019214 192000 256
11 3.316625 0.551863 -0.018296 192000 256
12 3.464102 0.549060 -0.015518 64000 256
13 3.605551 0.546495 -0.015824 192000 256
14 3.741657 0.544635 -0.014939 384000 256
16 4.000000 0.542722 -0.024088 48000 256
17 4.123106 0.539940 -0.017096 384000 256
18 4.242641 0.538620 -0.017370 288000 256
19 4.358899 0.537575 -0.012716 192000 256
20 4.472136 0.537376 -0.016426 192000 256
21 4.582576 0.535147 -0.014648 384000 256
22 4.690416 0.533523 -0.011273 192000 256
24 4.898979 0.531709 -0.011480 192000 256
25 5.000000 0.533393 -0.015261 240000 256
26 5.099020 0.533069 -0.012974 576000 256
27 5.196152 0.533003 -0.012820 256000 256
29 5.385165 0.529654 -0.010747 576000 256
30 5.477226 0.530715 -0.012897 384000 256
32 5.656854 0.530449 -0.011261 96000 256
33 5.744563 0.527611 -0.009411 384000 256
34 5.830952 0.527307 -0.008004 384000 256
35 5.916080 0.527851 -0.009657 384000 256
36 6.000000 0.526177 -0.007994 240000 256
37 6.082763 0.531363 -0.013832 192000 256
38 6.164414 0.527006 -0.009132 576000 256
40 6.324555 0.528964 -0.012274 192000 256
41 6.403124 0.526420 -0.007869 768000 256
42 6.480741 0.525431 -0.007629 384000 256
43 6.557439 0.524256 -0.005474 192000 256
44 6.633250 0.526236 -0.008688 192000 256
45 6.708204 0.523591 -0.006764 576000 256
46 6.782330 0.524541 -0.009278 384000 256
48 6.928203 0.522128 -0.001109 64000 256
49 7.000000 0.524110 -0.007815 432000 256
50 7.071068 0.524090 -0.007132 672000 256
51 7.141428 0.524444 -0.010128 384000 256
52 7.211103 0.522990 -0.007827 192000 256
53 7.280110 0.523663 -0.008021 576000 256
54 7.348469 0.523220 -0.008240 768000 256
56 7.483315 0.520780 -0.004226 384000 256
57 7.549834 0.521662 -0.005045 384000 256
58 7.615773 0.523190 -0.008242 192000 256
59 7.681146 0.521732 -0.005946 576000 256
61 7.810250 0.520550 -0.004668 576000 256
62 7.874008 0.520970 -0.005464 768000 256
64 8.000000 0.525277 -0.021645 48000 256
65 8.062258 0.520685 -0.008222 768000 256
66 8.124038 0.520874 -0.006343 768000 256
67 8.185353 0.520458 -0.004252 192000 256
68 8.246211 0.521390 -0.007006 384000 256
69 8.306624 0.521386 -0.008081 768000 256
70 8.366600 0.517884 -0.002128 384000 256
72 8.485281 0.519711 -0.008641 288000 256
73 8.544004 0.518915 -0.006854 384000 256
74 8.602325 0.519087 -0.006558 960000 256
75 8.660254 0.516462 -0.003629 448000 256
76 8.717798 0.515971 -0.002171 192000 256
77 8.774964 0.517151 -0.003886 768000 256
78 8.831761 0.515867 -0.003054 384000 256
80 8.944272 0.517634 -0.008462 192000 256

# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 128
1 1.000000 0.845272 -0.014407 48000 128
2 1.414214 0.813846 -0.008353 96000 128
3 1.732051 0.799953 -0.008312 64000 128
4 2.000000 0.800405 -0.017552 48000 128
5 2.236068 0.791119 -0.011326 192000 128
6 2.449490 0.785541 -0.010366 192000 128
8 2.828427 0.781044 -0.009398 96000 128
9 3.000000 0.778490 -0.009959 240000 128
10 3.162278 0.778613 -0.010811 192000 128
11 3.316625 0.775696 -0.009982 192000 128
12 3.464102 0.772384 -0.008192 64000 128
13 3.605551 0.772979 -0.008502 192000 128
14 3.741657 0.771042 -0.008006 384000 128
16 4.000000 0.770556 -0.012394 48000 128
17 4.123106 0.768316 -0.009576 384000 128
18 4.242641 0.767529 -0.008663 288000 128
19 4.358899 0.766041 -0.006723 192000 128
20 4.472136 0.767336 -0.008716 192000 128
21 4.582576 0.766030 -0.008404 384000 128
22 4.690416 0.764164 -0.006337 192000 128
24 4.898979 0.763534 -0.007459 192000 128
25 5.000000 0.763101 -0.007892 240000 128
26 5.099020 0.762922 -0.007716 576000 128
27 5.196152 0.763335 -0.008420 256000 128
29 5.385165 0.762403 -0.006405 576000 128
30 5.477226 0.762949 -0.008042 384000 128
32 5.656854 0.759842 -0.004453 96000 128
33 5.744563 0.761094 -0.006133 384000 128
34 5.830952 0.761522 -0.005222 384000 128
35 5.916080 0.760884 -0.005841 384000 128
36 6.000000 0.760959 -0.005680 240000 128
37 6.082763 0.760575 -0.009183 192000 128
38 6.164414 0.760451 -0.006030 576000 128
40 6.324555 0.760352 -0.008432 192000 128
41 6.403124 0.760220 -0.005722 768000 128
42 6.480741 0.759931 -0.004277 384000 128
43 6.557439 0.760387 -0.003120 192000 128
44 6.633250 0.759596 -0.006803 192000 128
45 6.708204 0.760020 -0.003883 576000 128
46 6.782330 0.759266 -0.005507 384000 128
48 6.928203 0.760874 0.000296 64000 128
49 7.000000 0.759275 -0.004399 432000 128
50 7.071068 0.759987 -0.003357 672000 128
51 7.141428 0.758866 -0.005401 384000 128
52 7.211103 0.759123 -0.004080 192000 128
53 7.280110 0.759373 -0.004928 576000 128
54 7.348469 0.759493 -0.004521 768000 128
56 7.483315 0.758709 -0.003096 384000 128
57 7.549834 0.759562 -0.001992 384000 128
58 7.615773 0.759671 -0.003983 192000 128
59 7.681146 0.759429 -0.003100 576000 128
61 7.810250 0.759035 -0.001694 576000 128
62 7.874008 0.758399 -0.003064 768000 128
64 8.000000 0.760225 -0.004620 48000 128
65 8.062258 0.759026 -0.002812 768000 128
66 8.124038 0.759378 -0.002828 768000 128
67 8.185353 0.759270 -0.002472 192000 128
68 8.246211 0.759658 -0.003005 384000 128
69 8.306624 0.759366 -0.004248 768000 128
70 8.366600 0.759262 -0.000113 384000 128
72 8.485281 0.758549 -0.004219 288000 128
73 8.544004 0.758624 -0.002779 384000 128
74 8.602325 0.758977 -0.002197 960000 128
75 8.660254 0.758330 -0.001796 448000 128
76 8.717798 0.758604 -0.000420 192000 128
77 8.774964 0.759042 -0.000865 768000 128
78 8.831761 0.758955 -0.001499 384000 128
80 8.944272 0.759191 -0.002381 192000 128

# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 384
1 1.000000 0.422189 -0.051800 48000 384
2 1.414214 0.308957 -0.037552 96000 384
3 1.732051 0.260717 -0.032752 64000 384
4 2.000000 0.259240 -0.063051 48000 384
5 2.236068 0.226417 -0.045974 192000 384
6 2.449490 0.209074 -0.039344 192000 384
8 2.828427 0.189316 -0.033412 96000 384
9 3.000000 0.181818 -0.038996 240000 384
10 3.162278 0.174808 -0.041410 192000 384
11 3.316625 0.168423 -0.038428 192000 384
12 3.464102 0.160207 -0.034337 64000 384
13 3.605551 0.159774 -0.034006 192000 384
14 3.741657 0.154357 -0.033556 384000 384
16 4.000000 0.147347 -0.035096 48000 384
17 4.123106 0.145657 -0.034345 384000 384
18 4.242641 0.143489 -0.031502 288000 384
19 4.358899 0.137788 -0.030306 192000 384
20 4.472136 0.139359 -0.029170 192000 384
21 4.582576 0.137892 -0.027388 384000 384
22 4.690416 0.133042 -0.030120 192000 384
24 4.898979 0.133487 -0.029419 192000 384
25 5.000000 0.129807 -0.027949 240000 384
26 5.099020 0.130000 -0.025891 576000 384
27 5.196152 0.131639 -0.025531 256000 384
29 5.385165 0.126316 -0.026082 576000 384
30 5.477226 0.127522 -0.024340 384000 384
32 5.656854 0.117978 -0.027095 96000 384
33 5.744563 0.121902 -0.025524 384000 384
34 5.830952 0.120193 -0.026317 384000 384
35 5.916080 0.119378 -0.025180 384000 384
36 6.000000 0.118444 -0.024484 240000 384
37 6.082763 0.117710 -0.019320 192000 384
38 6.164414 0.117827 -0.023336 576000 384
40 6.324555 0.115846 -0.020552 192000 384
41 6.403124 0.114822 -0.022839 768000 384
42 6.480741 0.110478 -0.024721 384000 384
43 6.557439 0.113099 -0.022392 192000 384
44 6.633250 0.114800 -0.025001 192000 384
45 6.708204 0.109789 -0.023778 576000 384
46 6.782330 0.111124 -0.024639 384000 384
48 6.928203 0.110449 -0.009124 64000 384
49 7.000000 0.112132 -0.024261 432000 384
50 7.071068 0.108307 -0.017750 672000 384
51 7.141428 0.107611 -0.018075 384000 384
52 7.211103 0.106597 -0.025588 192000 384
53 7.280110 0.108165 -0.023275 576000 384
54 7.348469 0.107306 -0.016788 768000 384
56 7.483315 0.107446 -0.021168 384000 384
57 7.549834 0.104493 -0.013238 384000 384
58 7.615773 0.103526 -0.019788 192000 384
59 7.681146 0.105280 -0.015201 576000 384
61 7.810250 0.105012 -0.014971 576000 384
62 7.874008 0.105879 -0.020759 768000 384
64 8.000000 0.103849 -0.016714 48000 384
65 8.062258 0.103837 -0.019886 768000 384
66 8.124038 0.103061 -0.013265 768000 384
67 8.185353 0.105336 -0.013856 192000 384
68 8.246211 0.101487 -0.011361 384000 384
69 8.306624 0.103944 -0.015115 768000 384
70 8.366600 0.101721 -0.008721 384000 384
72 8.485281 0.103814 -0.016785 288000 384
73 8.544004 0.103206 -0.017632 384000 384
74 8.602325 0.103472 -0.013094 960000 384
75 8.660254 0.103759 -0.015625 448000 384
76 8.717798 0.103041 -0.018348 192000 384
77 8.774964 0.102270 -0.007590 768000 384
78 8.831761 0.104552 -0.017547 384000 384
80 8.944272 0.106153 -0.016241 192000 384

# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 1.000000 8000 64
1 1.000000 0.923976 -0.005827 48000 64
2 1.414214 0.908959 -0.004684 96000 64
3 1.732051 0.902452 -0.003775 64000 64
4 2.000000 0.901693 -0.006557 48000 64
5 2.236068 0.897272 -0.005977 192000 64
6 2.449490 0.894461 -0.004456 192000 64
8 2.828427 0.891788 -0.005526 96000 64
9 3.000000 0.890576 -0.004988 240000 64
10 3.162278 0.890250 -0.006202 192000 64
11 3.316625 0.889079 -0.004762 192000 64
12 3.464102 0.888341 -0.003213 64000 64
13 3.605551 0.887471 -0.005143 192000 64
14 3.741657 0.886959 -0.003823 384000 64
16 4.000000 0.886546 -0.006932 48000 64
17 4.123106 0.886017 -0.004598 384000 64
18 4.242641 0.885476 -0.004966 288000 64
19 4.358899 0.884944 -0.003155 192000 64
20 4.472136 0.884077 -0.004960 192000 64
21 4.582576 0.884054 -0.004208 384000 64
22 4.690416 0.883809 -0.002495 192000 64
24 4.898979 0.882757 -0.003063 192000 64
25 5.000000 0.882582 -0.004996 240000 64
26 5.099020 0.882629 -0.004309 576000 64
27 5.196152 0.882530 -0.004933 256000 64
29 5.385165 0.881732 -0.003252 576000 64
30 5.477226 0.881491 -0.004770 384000 64
32 5.656854 0.880125 -0.004142 96000 64
33 5.744563 0.880312 -0.003281 384000 64
34 5.830952 0.880397 -0.002785 384000 64
35 5.916080 0.880010 -0.003784 384000 64
36 6.000000 0.879871 -0.002832 240000 64
37 6.082763 0.880851 -0.006538 192000 64
38 6.164414 0.879898 -0.003959 576000 64
40 6.324555 0.880014 -0.005833 192000 64
41 6.403124 0.879508 -0.003850 768000 64
42 6.480741 0.878401 -0.003244 384000 64
43 6.557439 0.878201 -0.001699 192000 64
44 6.633250 0.878451 -0.004229 192000 64
45 6.708204 0.878279 -0.002934 576000 64
46 6.782330 0.878355 -0.004367 384000 64
48 6.928203 0.877875 -0.000653 64000 64
49 7.000000 0.877872 -0.004099 432000 64
50 7.071068 0.878094 -0.002949 672000 64
51 7.141428 0.878501 -0.004909 384000 64
52 7.211103 0.877058 -0.004228 192000 64
53 7.280110 0.877566 -0.004372 576000 64
54 7.348469 0.877721 -0.004007 768000 64
56 7.483315 0.876529 -0.002651 384000 64
57 7.549834 0.876789 -0.002486 384000 64
58 7.615773 0.877168 -0.005230 192000 64
59 7.681146 0.876557 -0.003315 576000 64
61 7.810250 0.875968 -0.002007 576000 64
62 7.874008 0.876568 -0.003491 768000 64
64 8.000000 0.878142 -0.008035 48000 64
65 8.062258 0.876573 -0.004035 768000 64
66 8.124038 0.876271 -0.003822 768000 64
67 8.185353 0.875345 -0.002911 192000 64
68 8.246211 0.875784 -0.003558 384000 64
69 8.306624 0.876414 -0.004893 768000 64
70 8.366600 0.874348 -0.000548 384000 64
72 8.485281 0.875732 -0.004810 288000 64
73 8.544004 0.875871 -0.004358 384000 64
74 8.602325 0.875785 -0.003839 960000 64
75 8.660254 0.874725 -0.002531 448000 64
76 8.717798 0.874609 -0.001756 192000 64
77 8.774964 0.874774 -0.002263 768000 64
78 8.831761 0.874497 -0.002198 384000 64
80 8.944272 0.875541 -0.004514 192000 64

